Date,Adj_Close,Volume
"May 5, 2025",185.01,64531600
"Apr 28, 2025",189.98,282238000
"Apr 21, 2025",188.99,248380900
"Apr 14, 2025",172.61,187988200
"Apr 7, 2025",184.87,432738100
"Mar 31, 2025",171.00,377207100
"Mar 24, 2025",192.72,185517800
"Mar 17, 2025",196.21,226177600
"Mar 10, 2025",197.95,239400600
"Mar 3, 2025",199.25,252078200
"Feb 24, 2025",212.28,232786500
"Feb 17, 2025",216.58,156867400
"Feb 10, 2025",228.68,149796400
"Feb 3, 2025",229.15,244163400
"Jan 27, 2025",237.68,185290300
"Jan 20, 2025",234.85,133694800
"Jan 13, 2025",225.94,150393100
"Jan 6, 2025",218.94,121778800
"Dec 30, 2024",224.19,114613100
"Dec 23, 2024",223.75,86591300
"Dec 16, 2024",224.92,244979500
"Dec 9, 2024",227.46,170377300
"Dec 2, 2024",227.03,205802000
"Nov 25, 2024",207.89,135313400
"Nov 18, 2024",197.12,190810200
"Nov 11, 2024",202.61,249823200
"Nov 4, 2024",208.18,230303300
"Oct 28, 2024",197.93,276163200
"Oct 21, 2024",187.83,137236600
"Oct 14, 2024",188.99,140707200
"Oct 7, 2024",188.82,148616000
"Sep 30, 2024",186.51,172427500
"Sep 23, 2024",187.97,179200300
"Sep 16, 2024",191.60,226527100
"Sep 9, 2024",186.49,167953800
"Sep 2, 2024",171.39,149763700
"Aug 26, 2024",178.50,151090400
"Aug 19, 2024",177.04,154181700
"Aug 12, 2024",177.06,181342200
"Aug 5, 2024",166.94,272525600
"Jul 29, 2024",167.90,326330000
"Jul 22, 2024",182.50,202972200
"Jul 15, 2024",183.13,216879400
"Jul 8, 2024",194.49,175514700
"Jul 1, 2024",200.00,158248800
"Jun 24, 2024",193.25,312940500
"Jun 17, 2024",189.08,189919700
"Jun 10, 2024",183.66,160921700
"Jun 3, 2024",184.30,149494100
"May 27, 2024",176.44,150089400
"May 20, 2024",180.75,170604000
"May 13, 2024",184.70,211066900
"May 6, 2024",187.48,137695500
