Date,Adj_Close,Volume
"May 5, 2025",275.37,5480300
"Apr 28, 2025",276.85,12388100
"Apr 21, 2025",264.81,15136300
"Apr 14, 2025",251.31,14727800
"Apr 7, 2025",251.13,28919700
"Mar 31, 2025",232.91,26134800
"Mar 24, 2025",264.60,13571100
"Mar 17, 2025",269.61,15480900
"Mar 10, 2025",264.75,23255400
"Mar 3, 2025",272.31,17574100
"Feb 24, 2025",299.96,12229800
"Feb 17, 2025",294.42,10283200
"Feb 10, 2025",310.01,11022200
"Feb 3, 2025",315.72,9284500
"Jan 27, 2025",316.40,12237200
"Jan 20, 2025",320.28,15902400
"Jan 13, 2025",311.53,12217700
"Jan 6, 2025",292.33,9519600
"Dec 30, 2024",301.37,7533800
"Dec 23, 2024",299.35,5670200
"Dec 16, 2024",296.96,18739000
"Dec 9, 2024",300.43,10747000
"Dec 2, 2024",302.27,10448000
"Nov 25, 2024",302.96,8632500
"Nov 18, 2024",299.60,13173900
"Nov 11, 2024",285.25,12262800
"Nov 4, 2024",285.98,14875400
"Oct 28, 2024",271.15,11062500
"Oct 21, 2024",265.84,15223100
"Oct 14, 2024",275.23,17363500
"Oct 7, 2024",274.60,12483300
"Sep 30, 2024",273.70,10406200
"Sep 23, 2024",268.83,10654000
"Sep 16, 2024",266.77,16333800
"Sep 9, 2024",256.87,14340400
"Sep 2, 2024",242.05,12397100
"Aug 26, 2024",256.52,12871800
"Aug 19, 2024",249.23,10665100
"Aug 12, 2024",249.64,10599200
"Aug 5, 2024",235.89,14899800
"Jul 29, 2024",230.37,17571100
"Jul 22, 2024",243.86,13995300
"Jul 15, 2024",240.38,18404600
"Jul 8, 2024",236.66,11265900
"Jul 1, 2024",232.99,8518600
"Jun 24, 2024",228.96,14949700
"Jun 17, 2024",227.80,12635600
"Jun 10, 2024",222.31,14577800
"Jun 3, 2024",230.07,13036500
"May 27, 2024",237.32,12515500
"May 20, 2024",235.52,10998500
"May 13, 2024",240.10,11624100
"May 6, 2024",239.59,10343300
