Date,Adj_Close,Volume
"May 5, 2025",198.51,120235000
"Apr 28, 2025",205.35,286233500
"Apr 21, 2025",209.28,238181400
"Apr 14, 2025",196.98,263763500
"Apr 7, 2025",198.15,675037600
"Mar 31, 2025",188.38,366947800
"Mar 24, 2025",217.90,190172600
"Mar 17, 2025",218.27,287881900
"Mar 10, 2025",213.49,332232000
"Mar 3, 2025",239.07,239653700
"Feb 24, 2025",241.84,241760300
"Feb 17, 2025",245.55,166541000
"Feb 10, 2025",244.33,226587600
"Feb 3, 2025",227.38,227383400
"Jan 27, 2025",235.74,372790500
"Jan 20, 2025",222.54,277129600
"Jan 13, 2025",229.73,269145400
"Jan 6, 2025",236.59,185241400
"Dec 30, 2024",243.09,171023000
"Dec 23, 2024",255.31,133685900
"Dec 16, 2024",254.21,368202900
"Dec 9, 2024",247.86,192702600
"Dec 2, 2024",242.57,208286500
"Nov 25, 2024",237.07,198118800
"Nov 18, 2024",229.62,196344000
"Nov 11, 2024",224.75,223817700
"Nov 4, 2024",226.46,208083400
"Oct 28, 2024",222.42,248222000
"Oct 21, 2024",230.90,197299900
"Oct 14, 2024",234.48,218141000
"Oct 7, 2024",227.05,164894900
"Sep 30, 2024",226.30,221996800
"Sep 23, 2024",227.29,210673500
"Sep 16, 2024",227.70,550232800
"Sep 9, 2024",222.01,237622900
"Sep 2, 2024",220.34,179069200
"Aug 26, 2024",228.50,209486100
"Aug 19, 2024",226.34,188124900
"Aug 12, 2024",225.29,214898200
"Aug 5, 2024",215.52,342088200
"Jul 29, 2024",219.12,296061500
"Jul 22, 2024",217.23,242932200
"Jul 15, 2024",223.56,278397600
"Jul 8, 2024",229.77,287546800
"Jul 1, 2024",225.58,216231300
"Jun 24, 2024",209.91,335969500
"Jun 17, 2024",206.79,506265500
"Jun 10, 2024",211.78,635755100
"Jun 3, 2024",196.23,245994400
"May 27, 2024",191.61,230454300
"May 20, 2024",189.34,208619700
"May 13, 2024",189.23,288966500
"May 6, 2024",182.19,222105400
