Date,Adj_Close,Volume
"May 5, 2025", 71.72, 24638200
"Apr 28, 2025", 71.65, 83980100
"Apr 21, 2025", 71.91, 81214500
"Apr 14, 2025", 73.00, 64918700
"Apr 7, 2025", 71.43, 127389900
"Mar 31, 2025", 69.93, 105409400
"Mar 24, 2025", 70.37, 68643800
"Mar 17, 2025", 68.67, 106847200
"Mar 10, 2025", 68.65, 102202600
"Mar 3, 2025", 70.91, 121150400
"Feb 24, 2025", 70.69, 96462100
"Feb 17, 2025", 70.83, 66661700
"Feb 10, 2025", 68.37, 117949400
"Feb 3, 2025", 63.37, 65040800
"Jan 27, 2025", 63.01, 72327600
"Jan 20, 2025", 61.47, 73782000
"Jan 13, 2025", 62.25, 81396100
"Jan 6, 2025", 60.62, 72561200
"Dec 30, 2024", 61.30, 41623100
"Dec 23, 2024", 61.99, 34516500
"Dec 16, 2024", 62.09, 131166900
"Dec 9, 2024", 62.66, 101087800
"Dec 2, 2024", 62.07, 106133800
"Nov 25, 2024", 63.13, 75190400
"Nov 18, 2024", 62.97, 88093600
"Nov 11, 2024", 60.83, 84374600
"Nov 4, 2024", 62.97, 72239400
"Oct 28, 2024", 64.05, 67011900
"Oct 21, 2024", 65.93, 83946600
"Oct 14, 2024", 69.40, 55717400
"Oct 7, 2024", 68.54, 54520900
"Sep 30, 2024", 69.13, 64524900
"Sep 23, 2024", 70.73, 59263600
"Sep 16, 2024", 70.58, 96694700
"Sep 9, 2024", 69.87, 58049700
"Sep 2, 2024", 69.61, 74248400
"Aug 26, 2024", 70.91, 78999100
"Aug 19, 2024", 68.29, 54937600
"Aug 12, 2024", 67.69, 59154200
"Aug 5, 2024", 67.20, 79140000
"Jul 29, 2024", 67.84, 79985700
"Jul 22, 2024", 65.61, 66707800
"Jul 15, 2024", 63.89, 54644700
"Jul 8, 2024", 62.33, 55456100
"Jul 1, 2024", 62.39, 39801300
"Jun 24, 2024", 62.28, 59014700
"Jun 17, 2024", 61.42, 62772900
"Jun 10, 2024", 60.73, 51500800
"Jun 3, 2024", 62.05, 49078700
"May 27, 2024", 61.10, 53462200
"May 20, 2024", 60.20, 46251500
"May 13, 2024", 61.20, 52595700
"May 6, 2024", 61.42, 37776800
