Date,Adj_Close,Volume
"May 5, 2025",549.36,5099700
"Apr 28, 2025",566.10,11059600
"Apr 21, 2025",544.86,12258300
"Apr 14, 2025",509.49,12247400
"Apr 7, 2025",494.44,26763500
"Mar 31, 2025",470.81,20184500
"Mar 24, 2025",543.12,10571400
"Mar 17, 2025",565.14,14203300
"Mar 10, 2025",541.41,17877900
"Mar 3, 2025",559.67,18215800
"Feb 24, 2025",619.22,13894700
"Feb 17, 2025",622.51,11233500
"Feb 10, 2025",657.29,11636600
"Feb 3, 2025",652.66,10810100
"Jan 27, 2025",637.24,11417600
"Jan 20, 2025",633.76,13678600
"Jan 13, 2025",622.85,15862600
"Jan 6, 2025",557.24,8610200
"Dec 30, 2024",577.27,5963300
"Dec 23, 2024",573.34,5010900
"Dec 16, 2024",563.31,14568200
"Dec 9, 2024",582.59,8862700
"Dec 2, 2024",593.78,8218000
"Nov 25, 2024",602.58,8382000
"Nov 18, 2024",596.85,9619200
"Nov 11, 2024",587.70,10345000
"Nov 4, 2024",583.46,19200100
"Oct 28, 2024",514.24,8097000
"Oct 21, 2024",507.56,8294700
"Oct 14, 2024",523.30,13252000
"Oct 7, 2024",511.22,7884600
"Sep 30, 2024",490.29,7588400
"Sep 23, 2024",493.60,6550700
"Sep 16, 2024",493.53,12158000
"Sep 9, 2024",474.28,11000500
"Sep 2, 2024",474.89,7706900
"Aug 26, 2024",502.26,7035400
"Aug 19, 2024",501.44,6763300
"Aug 12, 2024",496.36,7947900
"Aug 5, 2024",482.58,12533200
"Jul 29, 2024",463.27,17023200
"Jul 22, 2024",491.21,9151000
"Jul 15, 2024",477.33,16811700
"Jul 8, 2024",472.36,13664600
"Jul 1, 2024",457.47,5930000
"Jun 24, 2024",445.24,12322200
"Jun 17, 2024",443.13,9329800
"Jun 10, 2024",439.47,8778000
"Jun 3, 2024",447.78,8778700
"May 27, 2024",446.67,9019800
"May 20, 2024",451.23,12270300
"May 13, 2024",457.62,9936400
"May 6, 2024",444.92,8599000
