Date,Adj_Close,Volume
"May 5, 2025",154.47,14108300
"Apr 28, 2025",156.12,33960400
"Apr 21, 2025",154.58,39475100
"Apr 14, 2025",157.47,40492300
"Apr 7, 2025",151.73,72649500
"Mar 31, 2025",153.24,75992400
"Mar 24, 2025",163.71,35238900
"Mar 17, 2025",163.63,44488000
"Mar 10, 2025",162.81,46982500
"Mar 3, 2025",166.69,47611500
"Feb 24, 2025",165.02,54303800
"Feb 17, 2025",161.01,37416300
"Feb 10, 2025",154.91,39353200
"Feb 3, 2025",151.90,38902500
"Jan 27, 2025",150.94,49999000
"Jan 20, 2025",145.65,48340100
"Jan 13, 2025",145.86,46229800
"Jan 6, 2025",140.93,36329600
"Dec 30, 2024",143.04,24010200
"Dec 23, 2024",143.90,22129500
"Dec 16, 2024",143.32,55631000
"Dec 9, 2024",145.46,45756900
"Dec 2, 2024",148.12,42241700
"Nov 25, 2024",152.55,27767900
"Nov 18, 2024",152.71,43216300
"Nov 11, 2024",151.56,40535000
"Nov 4, 2024",153.01,36566600
"Oct 28, 2024",157.59,29750200
"Oct 21, 2024",158.33,30991300
"Oct 14, 2024",162.50,33200100
"Oct 7, 2024",158.90,25126900
"Sep 30, 2024",157.75,25224700
"Sep 23, 2024",158.84,29809000
"Sep 16, 2024",161.56,31772200
"Sep 9, 2024",162.90,28252300
"Sep 2, 2024",161.78,24512900
"Aug 26, 2024",162.00,31807400
"Aug 19, 2024",160.31,30348400
"Aug 12, 2024",155.68,34708600
"Aug 5, 2024",156.89,35306300
"Jul 29, 2024",160.32,38957700
"Jul 22, 2024",156.90,38647200
"Jul 15, 2024",151.09,44546600
"Jul 8, 2024",146.40,28930600
"Jul 1, 2024",143.07,18771100
"Jun 24, 2024",142.76,35037700
"Jun 17, 2024",145.29,36749800
"Jun 10, 2024",142.16,28508700
"Jun 3, 2024",143.66,32224800
"May 27, 2024",143.26,41875900
"May 20, 2024",142.40,37361900
"May 13, 2024",149.83,33543500
"May 6, 2024",145.25,27325400
