Date,Adj_Close,Volume
"May 5, 2025", 98.55, 23065100
"Apr 28, 2025", 98.75, 76472100
"Apr 21, 2025", 95.09, 80577600
"Apr 14, 2025", 93.22, 93194400
"Apr 7, 2025", 92.80, 178112800
"Mar 31, 2025", 83.19, 140955600
"Mar 24, 2025", 85.15, 104611500
"Mar 17, 2025", 85.74, 113687300
"Mar 10, 2025", 85.12, 164146400
"Mar 3, 2025", 91.47, 117109900
"Feb 24, 2025", 98.34, 120039600
"Feb 17, 2025", 94.52, 127221000
"Feb 10, 2025", 103.76, 69104200
"Feb 3, 2025", 100.87, 77151700
"Jan 27, 2025", 97.89, 72209700
"Jan 20, 2025", 94.50, 67986800
"Jan 13, 2025", 91.69, 78650400
"Jan 6, 2025", 92.75, 57352400
"Dec 30, 2024", 90.53, 46712900
"Dec 23, 2024", 91.41, 57576200
"Dec 16, 2024", 91.99, 130925500
"Dec 9, 2024", 93.78, 79572200
"Dec 2, 2024", 95.23, 92996600
"Nov 25, 2024", 92.04, 67135700
"Nov 18, 2024", 89.99, 122522000
"Nov 11, 2024", 83.83, 69207300
"Nov 4, 2024", 84.41, 69379800
"Oct 28, 2024", 81.78, 54662200
"Oct 21, 2024", 82.10, 55654000
"Oct 14, 2024", 80.91, 56062800
"Oct 7, 2024", 79.70, 64858000
"Sep 30, 2024", 80.54, 74893300
"Sep 23, 2024", 79.39, 69922400
"Sep 16, 2024", 78.67, 113157200
"Sep 9, 2024", 80.20, 87344300
"Sep 2, 2024", 76.26, 68740400
"Aug 26, 2024", 76.85, 65967100
"Aug 19, 2024", 75.33, 71785500
"Aug 12, 2024", 72.88, 136311400
"Aug 5, 2024", 67.42, 80380200
"Jul 29, 2024", 67.93, 86600800
"Jul 22, 2024", 69.24, 80031000
"Jul 15, 2024", 70.20, 55889900
"Jul 8, 2024", 68.70, 60409600
"Jul 1, 2024", 69.50, 45976100
"Jun 24, 2024", 67.18, 79267800
"Jun 17, 2024", 67.38, 63948800
"Jun 10, 2024", 66.50, 70526300
"Jun 3, 2024", 65.37, 74811400
"May 27, 2024", 65.25, 65573900
"May 20, 2024", 64.87, 75029200
"May 13, 2024", 64.15, 150157200
"May 6, 2024", 59.80, 52443000
