Date,Close,Volume
"May 5, 2025",185.96,10361700
"Apr 28, 2025",185.46,38383200
"Apr 21, 2025",177.95,49744200
"Apr 14, 2025",161.90,34860100
"Apr 7, 2025",156.84,69313800
"Mar 31, 2025",136.59,59716300
"Mar 24, 2025",173.31,36776100
"Mar 17, 2025",178.11,55649500
"Mar 10, 2025",161.81,39858100
"Mar 3, 2025",154.18,48690900
"Feb 24, 2025",174.63,31617000
"Feb 17, 2025",177.15,31037700
"Feb 10, 2025",184.42,27933600
"Feb 3, 2025",181.49,30747400
"Jan 27, 2025",176.52,55293500
"Jan 20, 2025",176.06,30291200
"Jan 13, 2025",171.09,35836900
"Jan 6, 2025",172.00,30843900
"Dec 30, 2024",169.90,50794700
"Dec 23, 2024",180.72,25516000
"Dec 16, 2024",177.35,80055800
"Dec 9, 2024",169.65,64178400
"Dec 2, 2024",153.93,40800000
"Nov 25, 2024",155.44,32024600
"Nov 18, 2024",149.29,50937500
"Nov 11, 2024",140.19,78562200
"Nov 4, 2024",151.68,89192300
"Oct 28, 2024",154.59,186401300
"Oct 21, 2024",155.01,54517300
"Oct 14, 2024",155.00,41656900
"Oct 7, 2024",151.02,46057100
"Sep 30, 2024",155.00,40210300
"Sep 23, 2024",156.32,48530800
"Sep 16, 2024",153.29,49282200
"Sep 9, 2024",156.77,45883200
"Sep 2, 2024",157.62,37287800
"Aug 26, 2024",173.74,20146100
"Aug 19, 2024",174.96,25130800
"Aug 12, 2024",179.99,27717500
"Aug 5, 2024",167.91,29958200
"Jul 29, 2024",169.95,49444400
"Jul 22, 2024",186.89,30006900
"Jul 15, 2024",179.67,29111100
"Jul 8, 2024",182.31,27374100
"Jul 1, 2024",184.83,19222400
"Jun 24, 2024",182.01,35736200
"Jun 17, 2024",176.56,25084300
"Jun 10, 2024",177.27,23950600
"Jun 3, 2024",190.24,31389100
"May 27, 2024",177.61,18643200
"May 20, 2024",174.52,40964100
"May 13, 2024",184.95,26206200
"May 6, 2024",178.51,18877200
