Date,Close,Volume
"May 5, 2025", 433.31, 35240300
"Apr 28, 2025", 435.28, 157710000
"Apr 21, 2025", 391.85, 102043300
"Apr 14, 2025", 367.78, 79362600
"Apr 7, 2025", 388.45, 198357200
"Mar 31, 2025", 359.84, 150374700
"Mar 24, 2025", 378.80, 88286700
"Mar 17, 2025", 391.26, 119293100
"Mar 10, 2025", 388.56, 127899700
"Mar 3, 2025", 393.31, 121122400
"Feb 24, 2025", 396.99, 129423200
"Feb 17, 2025", 408.21, 96570800
"Feb 10, 2025", 408.43, 104730400
"Feb 3, 2025", 409.75, 101724500
"Jan 27, 2025", 415.06, 171530600
"Jan 20, 2025", 444.06, 87828300
"Jan 13, 2025", 429.03, 95676000
"Jan 6, 2025", 418.95, 73968400
"Dec 30, 2024", 423.35, 59964600
"Dec 23, 2024", 430.53, 52628900
"Dec 16, 2024", 436.60, 158004200
"Dec 9, 2024", 447.27, 97826700
"Dec 2, 2024", 443.57, 105037400
"Nov 25, 2024", 423.46, 85754300
"Nov 18, 2024", 417.00, 107662000
"Nov 11, 2024", 415.00, 123901200
"Nov 4, 2024", 422.54, 100773300
"Oct 28, 2024", 410.37, 140477000
"Oct 21, 2024", 428.15, 89823400
"Oct 14, 2024", 418.16, 83027500
"Oct 7, 2024", 416.32, 83116700
"Sep 30, 2024", 416.06, 85338600
"Sep 23, 2024", 428.02, 74929200
"Sep 16, 2024", 435.27, 128480600
"Sep 9, 2024", 430.59, 87449700
"Sep 2, 2024", 401.70, 69254400
"Aug 26, 2024", 417.14, 82881900
"Aug 19, 2024", 416.79, 85544600
"Aug 12, 2024", 418.47, 97971900
"Aug 5, 2024", 406.02, 125786300
"Jul 29, 2024", 408.49, 150439100
"Jul 22, 2024", 425.27, 109249300
"Jul 15, 2024", 437.11, 95118300
"Jul 8, 2024", 453.55, 87801100
"Jul 1, 2024", 467.56, 57575700
"Jun 24, 2024", 446.95, 92336800
"Jun 17, 2024", 449.78, 92266100
"Jun 10, 2024", 442.57, 80462900
"Jun 3, 2024", 423.85, 77304600
"May 27, 2024", 415.13, 107655200
"May 20, 2024", 430.16, 84856600
"May 13, 2024", 420.21, 85671300
"May 6, 2024", 414.74, 59902500
